127.0.0.1 - - [08/Apr/2017:10:10:45 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:11:08 +0530] "GET /shoppingCart/ HTTP/1.1" 200 5866
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:11:12 +0530] "GET /shoppingCart/resources/images/cakes/img/c13.jpg HTTP/1.1" 200 56868
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:11:12 +0530] "GET /shoppingCart/resources/images/cakes/img/b1.png HTTP/1.1" 200 468609
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:11:13 +0530] "GET /shoppingCart/resources/images/cakes/img/pastel-cake-image.jpg HTTP/1.1" 200 32308
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:11:13 +0530] "GET /shoppingCart/resources/images/cakes/img/c16.jpg HTTP/1.1" 200 91232
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:11:13 +0530] "GET /shoppingCart/resources/images/cakes/img/c14.jpg HTTP/1.1" 200 76022
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:11:13 +0530] "GET /shoppingCart/resources/images/cakes/img/c2.jpg HTTP/1.1" 200 108615
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:11:13 +0530] "GET /shoppingCart/resources/images/cakes/img/c8.jpg HTTP/1.1" 200 68547
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:11:13 +0530] "GET /shoppingCart/resources/images/cakes/img/fruitcake.png HTTP/1.1" 200 144769
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:11:13 +0530] "GET /shoppingCart/resources/images/cakes/img/c3.jpg HTTP/1.1" 200 98232
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:11:14 +0530] "GET /shoppingCart/resources/images/cakes/img/Cake-choco.jpg HTTP/1.1" 200 116741
